IL4_R1	IL4_R2	IL4_R3	IL4_R4	IL4_R5	IL4_R6	PAR4_R1	PAR4_R2	PAR4_R3	PAR4_R4	PAR4_R5	PAR4_R6	TmPro_R1	TmPro_R2	TmPro_R3	TmPro_R4	TmPro_R5	TmPro_R6	B6_R1	B6_R2	B6_R3	B6_R4	B6_R5	B6_R6	depletion10days_R1	depletion10days_R2	depletion10days_R3	depletion8days_R1	depletion8days_R2	depletion8days_R3
ENSMUSG00000090025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	3	3	6	2	0	1	0	1	1	0	2	2	1	0	0	1	1	0	3	0	0	0	1	0	0	0	1	0	0	1
ENSMUSG00000096126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1
ENSMUSG00000088000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033845	11	20	25	11	12	12	8	5	19	12	2	17	16	17	18	14	21	19	14	15	26	19	24	23	16	13	26	9	15	18
ENSMUSG00000025903	169	156	189	152	129	111	80	145	164	161	72	138	94	142	125	96	193	181	203	181	326	244	253	236	172	234	132	350	239	265
ENSMUSG00000033813	30	22	35	22	28	24	16	18	25	26	25	18	14	27	29	13	39	20	24	26	48	32	28	26	22	27	33	34	74	47
ENSMUSG00000062588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
