IL4_R1	IL4_R2	IL4_R3	IL4_R4	IL4_R5	IL4_R6	PAR4_R1	PAR4_R2	PAR4_R3	PAR4_R4	PAR4_R5	PAR4_R6	TmPro_R1	TmPro_R2	TmPro_R3	TmPro_R4	TmPro_R5	TmPro_R6	B6_R1	B6_R2	B6_R3	B6_R4	B6_R5	B6_R6	depletion10days_R1	depletion10days_R2	depletion10days_R3	depletion8days_R1	depletion8days_R2	depletion8days_R3
ENSMUSG00000090025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	3	3	6	2	0	1	0	1	1	0	2	2	1	0	0	1	1	0	3	0	0	0	1	0	0	0	1	0	0	1
ENSMUSG00000096126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1
ENSMUSG00000088000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
