condition	sizeFactor
IL4_R1	IL4	0.906762148457391
IL4_R2	IL4	0.999861159982266
IL4_R3	IL4	1.26504876060415
IL4_R4	IL4	0.885769303738986
IL4_R5	IL4	0.975343587007524
IL4_R6	IL4	1.12287880925759
PAR4_R1	PAR4	0.637954045732412
PAR4_R2	PAR4	0.971789834417721
PAR4_R3	PAR4	0.95750804440896
PAR4_R4	PAR4	0.953044161034229
PAR4_R5	PAR4	0.476846864978443
PAR4_R6	PAR4	0.907768634856798
TmPro_R1	TmPro	0.510261434497688
TmPro_R2	TmPro	0.949437951233674
TmPro_R3	TmPro	1.06178389506005
TmPro_R4	TmPro	0.931495292495649
TmPro_R5	TmPro	1.28764898508814
TmPro_R6	TmPro	1.01573694792054
B6_R1	B6	0.953956849894526
B6_R2	B6	0.791875202078055
B6_R3	B6	1.48858433497611
B6_R4	B6	1.46517787193852
B6_R5	B6	1.43271254444435
B6_R6	B6	1.05719519481499
depletion10days_R1	depletion10days	0.745692553892407
depletion10days_R2	depletion10days	1.22437450622659
depletion10days_R3	depletion10days	1.15986241522738
depletion8days_R1	depletion8days	1.45431614066416
depletion8days_R2	depletion8days	1.46977672379923
depletion8days_R3	depletion8days	1.731443437408
